"","Delta_m/z","Ac","Na","K","H+ loss","Ca","NO3","Mg","13C","Mass error"
"1",1.00344,0,0,0,0,0,0,0,1,9.99999999997564e-05
"2",82.00302,1,1,0,0,0,0,0,0,0.00059999999999502
"3",83.00618,1,1,0,0,0,0,0,1,0.000780000000009663
"4",84.9776,0,1,0,0,0,1,0,0,0.000539999999985116
"5",85.98117,0,1,0,0,0,1,0,1,0.000309999999965892
"6",109.99807,1,1,0,2,0,0,1,1,0.0103899999999648
"7",111.00145,0,1,0,2,0,1,1,0,0.978189999999981
"8",142.01162,0,0,2,1,0,1,0,1,0.0840799999999543
"9",157.98896,2,0,0,0,1,0,0,0,0.00132999999999569
"10",164.0058,2,2,0,0,0,0,0,0,0.00144000000004833
"11",173.96498,0,1,0,1,0,2,1,1,0.00146000000000755
"12",174.96511,1,0,0,2,0,1,2,1,0.972210000127983
"13",239.99178,3,1,0,0,1,0,0,0,0.00212999999999897
"14",246.0089,3,3,0,0,0,0,0,0,0.00195999999999914
"15",251.94295,1,3,0,0,0,2,0,0,0.0169499998719952
"16",321.99517,4,2,0,0,1,0,0,0,0.00236000012793069
"17",328.01113,4,4,0,0,0,0,0,0,0.00335000012803321
"18",403.99749,5,3,0,0,1,0,0,0,0.00366000012797227
"19",479.98406,4,3,0,1,0,2,2,0,0.00310000025594329
"20",486.00206,6,4,0,0,1,0,0,0,0.00270999974406283
