adduct,log10freq,massdiff,nummol,charge
[M+2H-NH3]2+,-3.512904422,-15.0120166,1,2
[M+2H]2+,-1.813934418,2.014552,1,2
[M+H+Na]2+,-2.699991065,23.996494,1,2
[M+2H+Na]3+,-3.813934418,25.00377,1,3
[M+H+K]2+,-2.234150821,39.970434,1,2
[M+2Na]2+,-2.667806382,45.978436,1,2
[M+H+2Na]3+,-3.512904422,46.98573,1,3
[M+3Na]3+,-3.512904422,68.967654,1,3
[M+H]+,-0.268998652,1.007276,1,1
[M+H-H2O]+,-0.747608492,-17.0032778,1,1
[M+Na]+,-0.963288183,22.989218,1,1
[M+H-NH3]+,-1.588625136,-16.01927432,1,1
[M-H+2Na]+,-1.859691908,44.97116444,1,1
[M-2H+3Na]+,-1.910844431,66.9530814,1,1
[M+H+H2O]+,-2.322572724,19.01786821,1,1
[M+K]+,-2.415994409,38.963158,1,1
[M+NH4]+,-2.491715123,18.033823,1,1
[M-H+2K]+,-3.114964413,76.91904,1,1
[M+H-OH]+,-3.211874426,-15.99548193,1,1
[M+Na-H2O]+,-3.512904422,4.978142219,1,1
[M-2H+3K]+,-3.512904422,114.8748814,1,1
[M+K-H2O]+,-3.813934418,20.95204222,1,1
[M-CO2H+H]+,-4.813934418,-43.98986378,1,1
[3M+H-H2O]+,-4.813934418,-17.0032778,3,1
[2M+H]+,-1.223984816,1.007276,2,1
[3M+H]+,-2.269866373,1.007276,3,1
[2M+Na-H2O]+,-3.813934418,4.978142219,2,1
[2M+K-H2O]+,-3.813934418,20.95204222,2,1
[3M+K-H2O]+,-4.813934418,20.95204222,3,1
[2M+Na]+,-2.968836378,22.989218,2,1
[2M+K]+,-3.813934418,38.96314222,2,1
[3M+K]+,-3.813934418,38.96314222,3,1
[M-H+Na+K]+,-2.276631803,60.9451,1,1
[M-H+NaCaAc]+,-1.566907502,120.95728,1,1
[M-H+Na3Ac]+,-1.845143629,126.97423,1,1
[M-H+CH3CN+NaCaAc]+,-1.307533391,161.98328,1,1
[M-H+Na2CaAc2]+,-1.091576874,202.96035,1,1
[M-H+CH3CN+Ca2Ac2]+,-2.24962017,237.9694,1,1
[M-H+NaCa2Ac3]+,-1.44073641,278.94647,1,1
[M-H+Na3CaAc3]+,-1.435846813,284.96342,1,1
[M-H+Na2Ca2Ac4]+,-1.494124824,360.94954,1,1
[M-H+Na4CaAc4]+,-1.798268817,366.96649,1,1
[M-H+Na3Ca2Ac5]+,-1.767047206,442.95261,1,1
[M-H+Na4Ca2Ac6]+,-2.251497123,524.95568,1,1
